Drug	Tumor	Replica	Day	Concentration	N_Dead	N_Live
Control	5	1	1	0	57	16
Control	5	1	1	0	54	11
Control	5	1	1	0	56	18
Control	5	1	1	0	55	26
Control	5	1	1	0	91	37
Control	5	1	1	0	112	61
Control	5	1	1	0	59	32
Control	5	1	3	0	59	48
Control	5	1	3	0	29	22
Control	5	1	3	0	29	33
Control	5	1	3	0	29	23
Control	5	1	3	0	24	31
Control	5	1	3	0	18	31
Control	5	1	3	0	18	40
Control	5	2	0	0	52	46
Control	5	2	0	0	39	56
Control	5	2	0	0	43	56
Control	5	2	0	0	52	71
Control	5	2	0	0	65	97
Control	5	2	0	0	89	109
Control	5	2	0	0	53	77
Control	5	2	0	0	49	71
Control	5	2	0	0	33	62
Control	5	2	1	0	21	1
Control	5	2	1	0	42	2
Control	5	2	1	0	14	4
Control	5	2	1	0	35	3
Control	5	2	1	0	28	1
Control	5	2	1	0	27	2
Control	5	2	3	0	30	2
Control	5	2	3	0	44	11
Control	5	2	3	0	54	21
Control	5	2	3	0	1	1
Control	5	2	3	0	4	1
Control	5	2	3	0	8	1
Control	5	2	3	0	5	1
Control	5	2	3	0	5	1
Control	5	2	3	0	6	1
Control	5	3	1	0	65	1
Control	5	3	1	0	64	1
Control	5	3	1	0	63	1
Control	5	3	1	0	70	1
Control	5	3	1	0	96	1
Control	5	3	1	0	93	1
Control	5	3	1	0	127	1
Control	5	3	1	0	64	1
Control	5	3	1	0	87	62
Control	5	3	3	0	53	24
Control	5	3	3	0	55	23
Control	5	3	3	0	32	22
Control	5	3	3	0	27	24
Control	5	3	3	0	33	21
Control	5	3	3	0	48	39
Control	5	3	3	0	33	24
Control	5	3	3	0	35	23
Control	6	1	0	0	31	73
Control	6	1	0	0	20	69
Control	6	1	0	0	18	66
Control	6	1	0	0	16	68
Control	6	1	0	0	18	58
Control	6	1	0	0	14	69
Control	6	1	0	0	26	58
Control	6	1	0	0	21	58
Control	6	1	0	0	14	60
Control	6	1	1	0	8	26
Control	6	1	1	0	12	21
Control	6	1	1	0	8	22
Control	6	1	1	0	6	13
Control	6	1	1	0	9	21
Control	6	1	1	0	3	11
Control	6	1	1	0	8	22
Control	6	1	1	0	1	16
Control	6	1	1	0	2	9
Control	6	1	2	0	2	11
Control	6	1	2	0	2	5
Control	6	1	2	0	9	10
Control	6	1	2	0	14	12
Control	6	1	2	0	38	22
Control	6	1	2	0	41	28
Control	6	1	2	0	42	28
Control	6	1	3	0	41	30
Control	6	1	3	0	46	70
Control	6	1	3	0	43	88
Control	6	1	3	0	35	102
Control	6	1	3	0	30	98
Control	6	1	3	0	57	87
Control	6	1	3	0	39	101
Control	6	2	0	0	38	51
Control	6	2	0	0	30	78
Control	6	2	0	0	30	66
Control	6	2	0	0	36	62
Control	6	2	0	0	43	78
Control	6	2	0	0	46	70
Control	6	2	0	0	35	48
Control	6	2	0	0	39	58
Control	6	2	0	0	53	64
Control	6	2	2	0	38	42
Control	6	2	2	0	36	45
Control	6	2	2	0	35	31
Control	6	2	2	0	28	47
Control	6	2	2	0	38	52
Control	6	2	2	0	39	33
Control	6	2	2	0	28	40
Control	6	2	2	0	36	43
Control	6	2	3	0	6	56
Control	6	2	3	0	15	76
Control	6	2	3	0	18	83
Control	6	2	3	0	13	63
Control	6	2	3	0	16	69
Control	6	2	3	0	2	67
