Drug	Tumor	Replica	Day	Concentration	N_Dead	N_Live
Control	1	1	0	0	75	121
Control	1	1	0	0	75	135
Control	1	1	0	0	63	113
Control	1	1	0	0	58	113
Control	1	1	0	0	66	131
Control	1	1	0	0	50	134
Control	1	1	0	0	72	119
Control	1	1	0	0	61	134
Control	1	1	0	0	63	113
Control	1	1	2	0	144	170
Control	1	1	2	0	95	138
Control	1	1	2	0	48	84
Control	1	1	2	0	5	37
Control	1	1	2	0	2	26
Control	1	1	2	0	3	16
Control	1	1	2	0	36	70
Control	1	1	2	0	99	141
Control	1	1	3	0	73	102
Control	1	1	3	0	17	61
Control	1	1	3	0	16	42
Control	1	1	3	0	100	173
Control	1	1	3	0	75	104
Control	1	1	3	0	10	49
Control	1	1	3	0	16	56
Control	1	1	3	0	9	43
Control	1	1	3	0	15	45
Control	1	1	4	0	199	174
Control	1	1	4	0	177	164
Control	1	1	4	0	103	74
Control	1	1	4	0	175	128
Control	1	1	4	0	131	108
Control	1	1	4	0	136	107
Control	1	1	4	0	135	124
Control	1	2	0	0	113	161
Control	1	2	0	0	98	149
Control	1	2	0	0	91	173
Control	1	2	0	0	88	163
Control	1	2	0	0	99	172
Control	1	2	0	0	112	190
Control	1	2	0	0	112	205
Control	1	2	0	0	117	154
Control	1	2	0	0	99	155
Control	1	2	1	0	75	62
Control	1	2	1	0	30	36
Control	1	2	1	0	36	34
Control	1	2	1	0	52	40
Control	1	2	1	0	57	53
Control	1	2	1	0	68	58
Control	1	2	1	0	127	87
Control	1	2	1	0	141	112
Control	1	2	1	0	33	42
Control	2	1	0	0	63	87
Control	2	1	0	0	57	100
Control	2	1	0	0	42	82
Control	2	1	0	0	61	99
Control	2	1	0	0	77	89
Control	2	1	0	0	50	84
Control	2	1	0	0	40	89
Control	2	1	0	0	46	71
Control	2	1	0	0	80	96
Control	2	1	1	0	29	42
Control	2	1	1	0	44	60
Control	2	1	1	0	43	54
Control	2	1	1	0	44	48
Control	2	1	1	0	27	45
Control	2	1	1	0	31	44
Control	2	1	1	0	36	51
Control	2	1	1	0	34	60
Control	2	1	1	0	28	51
Control	2	1	2	0	14	32
Control	2	1	2	0	73	80
Control	2	1	2	0	71	66
Control	2	1	2	0	54	67
Control	2	1	2	0	75	79
Control	2	1	2	0	61	78
Control	2	1	2	0	85	82
Control	2	1	2	0	57	52
Control	2	1	2	0	55	70
Control	2	1	3	0	5	11
Control	2	1	3	0	6	18
Control	2	1	3	0	26	51
Control	2	1	3	0	27	31
Control	2	1	3	0	31	34
Control	2	1	3	0	20	21
Control	2	1	3	0	17	21
Control	2	1	3	0	26	32
Control	2	1	3	0	18	34
Control	2	1	4	0	35	32
Control	2	1	4	0	34	30
Control	2	1	4	0	8	17
Control	2	1	4	0	21	25
Control	2	1	4	0	10	19
Control	2	1	4	0	8	25
Control	2	1	4	0	30	30
Control	2	1	4	0	17	29
Control	2	1	4	0	8	16
Control	2	2	0	0	52	92
Control	2	2	0	0	42	96
Control	2	2	0	0	14	82
Control	2	2	0	0	17	82
Control	2	2	0	0	23	91
Control	2	2	0	0	23	82
Control	2	2	0	0	15	68
Control	2	2	0	0	18	69
Control	2	2	1	0	26	44
Control	2	2	1	0	37	56
Control	2	2	1	0	30	50
Control	2	2	1	0	31	48
Control	2	2	1	0	18	45
Control	2	2	1	0	5	36
Control	2	2	1	0	9	24
Control	2	2	1	0	3	27
Control	2	2	1	0	8	32
Control	3	1	0	0	18	52
Control	3	1	0	0	19	55
Control	3	1	0	0	15	62
Control	3	1	0	0	15	50
Control	3	1	0	0	16	50
Control	3	1	0	0	20	51
Control	3	1	0	0	6	44
Control	3	1	0	0	36	60
Control	3	1	0	0	37	65
Control	3	1	1	0	12	34
Control	3	1	1	0	10	49
Control	3	1	1	0	7	22
Control	3	1	1	0	14	17
Control	3	1	1	0	17	38
Control	3	1	1	0	20	35
Control	3	1	1	0	31	46
Control	3	1	1	0	25	37
Control	3	1	2	0	48	37
Control	3	1	2	0	34	45
Control	3	1	2	0	31	50
Control	3	1	2	0	49	52
Control	3	1	2	0	34	35
Control	3	1	2	0	63	46
Control	3	1	2	0	65	41
Control	3	1	2	0	36	36
Control	3	1	2	0	41	39
Control	3	1	4	0	31	26
Control	3	1	4	0	37	35
Control	3	1	4	0	32	38
Control	3	1	4	0	5	14
Control	3	1	4	0	2	10
Control	3	1	4	0	10	20
Control	3	1	4	0	15	21
Control	3	1	4	0	16	26
Control	3	1	4	0	23	28
Control	3	2	2	0	38	41
Control	3	2	2	0	15	31
Control	3	2	2	0	25	40
Control	3	2	2	0	29	40
Control	3	2	2	0	39	53
Control	3	2	2	0	29	37
Control	3	2	2	0	47	43
Control	3	2	2	0	38	51
Control	3	2	2	0	35	34
Control	3	2	3	0	8	39
Control	3	2	3	0	14	21
Control	3	2	3	0	15	40
Control	3	2	3	0	7	22
Control	3	2	3	0	6	17
Control	3	2	3	0	10	32
Control	3	2	3	0	9	17
Control	3	2	3	0	12	28
Control	3	2	4	0	24	23
Control	3	2	4	0	46	43
Control	3	2	4	0	30	42
Control	3	2	4	0	45	45
Control	3	2	4	0	25	28
Control	3	2	4	0	12	26
Control	3	2	4	0	10	20
Control	3	2	4	0	16	14
Control	3	2	4	0	18	28
